StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
TCGA-AA-3877-01	73.1836079928974	1256.38921269165	1329.57282068454	0.696596896326854
TCGA-A6-6782-01	423.695254852513	993.820143557911	1417.51539841042	0.687277422897073
TCGA-A6-6653-01	-546.804786888592	497.726303640821	-49.0784832477713	0.82658536993865
TCGA-AA-3860-01	-16.2681874867941	962.832673414245	946.564485927451	0.73581163262668
TCGA-G4-6293-01	-719.084068618408	986.77745193372	267.693383315312	0.79953153059209
TCGA-G4-6298-01	-728.894031294025	-697.172677483734	-1426.06670877776	0.922743487873037
TCGA-CM-4746-01	-1322.53085640757	51.3976254571526	-1271.13323095042	0.913740355139525
TCGA-DM-A0XF-01	-666.214329617659	149.45939369519	-516.754935922469	0.863244755068355
TCGA-A6-6648-01	-1263.42451224243	-141.341694016312	-1404.76620625874	0.921533916290988
TCGA-A6-5656-01	-1000.37330565156	-311.574993716428	-1311.94829936799	0.91615814918153
TCGA-AA-3685-01	-231.609520878754	1231.8269333411	1000.21741246235	0.730455601715567
TCGA-4N-A93T-01	-1736.2197600795	-352.355944501894	-2088.5757045814	0.955805594804974
TCGA-DM-A28C-01	-1502.53718990115	-588.41137148142	-2090.94856138258	0.955907939134906
TCGA-CK-5912-01	-682.157517923405	-86.2302789059876	-768.387796829393	0.881296865821308
TCGA-AA-3516-01	-631.24550302196	870.055285393904	238.809782371944	0.802070849563005
TCGA-AD-6890-01	-632.667593842017	193.741756169871	-438.925837672147	0.857421670067738
TCGA-A6-2674-01	1090.66485822207	1465.72974881801	2556.39460704008	0.556826304676191
TCGA-F4-6461-01	-16.9055572751195	608.69583461362	591.790277338501	0.770063816730211
TCGA-AA-3662-01	-324.864955799556	902.191619590262	577.326663790706	0.771416541684305
TCGA-A6-2677-01	67.9705740882582	-118.35200066517	-50.381426576912	0.826692996413408
TCGA-AA-3673-01	-637.788527713189	346.412630192752	-291.375897520438	0.846075603233924
TCGA-AA-A02R-01	-139.773395806188	1597.77037803214	1457.99698222595	0.682948910312993
TCGA-D5-6535-01	-536.903322800667	681.524236774161	144.620913973493	0.810251115459349
TCGA-D5-6537-01	-1440.4749495115	-27.8298542703255	-1468.30480378183	0.92511533203283
TCGA-4T-AA8H-01	-1932.58190024415	-538.550802322754	-2471.1327025669	0.970799825404099
TCGA-AA-3994-01	-497.811541247631	432.631089575177	-65.180451672454	0.827913310733709
TCGA-CK-5916-01	-78.1977547814141	1400.76161825053	1322.56386346911	0.697334677294085
TCGA-RU-A8FL-01	-2167.06717302092	-678.885491189477	-2845.9526642104	0.982522793911433
TCGA-F4-6460-01	5.10121529923752	414.926597680178	420.027812979415	0.785902258637826
TCGA-AZ-4684-01	-69.1750461121353	905.074641268708	835.899595156573	0.746714500678525
TCGA-AA-3555-01	-276.411740512126	377.555818752466	101.14407824034	0.813974909359494
TCGA-CM-5344-01	-98.9914360441201	-66.7835677208471	-165.775003764967	0.836104417648255
TCGA-F4-6855-01	763.231968226502	411.074800950044	1174.30676917655	0.71276644410216
TCGA-G4-6323-01	-1637.33290010186	900.460138972019	-736.87276112984	0.879101347293807
TCGA-A6-6142-01	542.558919459077	539.549880839727	1082.1088002988	0.722193362156388
