"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC116345.3",-0.543597886072474,0.130321451881753,-17.7188416456362,2.48097455863091e-57,6.39459915330032e-55,119.667249009016
"ELFN1-AS1",3.51448478793052,4.0779222264972,17.439164780147,6.80812735041666e-56,1.69319321613169e-53,116.375358131409
"AC055874.1",-0.622768985896183,0.083263852467936,-17.382300935419,1.33207875852029e-55,3.25578422082476e-53,115.708257278766
"AC010776.2",-0.864123912829486,0.159590159809509,-17.2572929112443,5.81025742231699e-55,1.39603744438586e-52,114.244415166213
"LINC02268",-0.44758942979052,0.0815718407282744,-17.1929093830583,1.23882840863881e-54,2.92693858681062e-52,113.491952246655
"MIR1-1HG-AS1",-1.1950384729913,0.357007783135447,-17.1335339172505,2.48806685375959e-54,5.78210421621245e-52,112.798916981572
"LINC02568",-2.01146464873414,1.05227688388984,-17.0975230637979,3.79626174996597e-54,8.5614200410991e-52,112.379018882557
"AL158071.1",-0.888050088537554,0.266097722699436,-17.0973313517948,3.80480715709117e-54,8.5614200410991e-52,112.376784319696
"AP001627.1",-1.0255869220909,0.300571800230544,-16.9659009542478,1.77356744160149e-53,3.9284518831473e-51,110.847019970427
"AP000866.2",-1.42151455853567,1.31570505720762,-16.796485621434,1.28163391158348e-52,2.79514497393961e-50,108.881631339138
"SNHG17",2.09571354131624,4.92158917341758,16.7706623417514,1.73141863345849e-52,3.71887735574356e-50,108.582710043523
"SNHG1",1.75676666185327,5.19506398734161,16.7601895852531,1.95596652036705e-52,4.07761491069459e-50,108.461531011672
"SNHG16",1.27067637247164,3.9624704594939,16.7358671126233,2.59602390694095e-52,5.27677208118055e-50,108.180210143704
"AC087379.2",-0.803873614189606,0.192790539457705,-16.735549710553,2.60562955475902e-52,5.27677208118055e-50,108.176540011402
"AC104407.1",-0.514382355658641,0.10097537220597,-16.6987742843262,3.99648594052517e-52,7.86863676290066e-50,107.751485215887
"AC110491.1",-0.648956135020949,0.0931016977393556,-16.5790698584902,1.60422329933757e-51,3.10676393130774e-49,106.370432833908
"NKAIN3-IT1",-0.527577890549924,0.132845320663117,-16.5781321834015,1.62175882418717e-51,3.10676393130774e-49,106.359629968401
"LINC01687",-0.855653403423217,0.204703427053243,-16.5619839900129,1.95560266504275e-51,3.69634978395281e-49,106.173625692352
